epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1452,1.7366,3.71828,1.37167,0.15499,0.17403,0.08962,0.05489,1.69336,2.99972,1.19587,0.000366967,0.000366967,0.000366967
2,54.614,1.73631,2.76678,1.27252,0.14659,0.33633,0.11446,0.06015,1.96505,2.91671,1.38295,0.000664307,0.000664307,0.000664307
3,79.7421,1.77852,2.41262,1.26058,0.15563,0.29479,0.12896,0.06436,2.0967,2.47942,1.48125,0.000888322,0.000888322,0.000888322
4,102.582,1.71916,2.18479,1.23907,0.25348,0.26422,0.19908,0.11221,1.88106,2.17899,1.32246,0.000781033,0.000781033,0.000781033
5,125.085,1.57844,1.9683,1.22485,0.24909,0.3524,0.23979,0.13743,1.72792,2.00566,1.30798,0.000671044,0.000671044,0.000671044
6,146.966,1.51198,1.82373,1.18804,0.30762,0.38567,0.2958,0.16099,1.76336,1.95532,1.27833,0.000561055,0.000561055,0.000561055
7,170.942,1.42627,1.69023,1.15599,0.42407,0.34023,0.30263,0.17819,1.59786,1.8125,1.24886,0.000451066,0.000451066,0.000451066
8,192.672,1.39307,1.63461,1.14578,0.31192,0.4086,0.29799,0.18894,1.51423,1.76835,1.25834,0.000341077,0.000341077,0.000341077
9,213.648,1.34218,1.62219,1.13222,0.40243,0.35421,0.31698,0.19225,1.60968,1.69895,1.25499,0.000231088,0.000231088,0.000231088
10,234.494,1.31939,1.55274,1.10793,0.39037,0.3775,0.34464,0.21241,1.52366,1.65187,1.22009,0.000121099,0.000121099,0.000121099
